id,inicio,fim,n_cidades,cidades,atinge_acu,atinge_mirim,tipos,desabrigados,desalojados,mortos,prejuizos_rs,protocolos
2023-11-28,2023-11-28,2023-12-02,2,"Brusque, Ituporanga",True,True,"Chuvas intensas, Enxurrada",0,78,0,0.0,"SC-F-4202909-13214-20231128, SC-F-4208500-12200-20231202"
2024-02-18,2024-02-18,2024-02-18,1,Brusque,False,True,Chuvas intensas,0,0,0,0.0,SC-F-4202909-13214-20240218
2024-02-28,2024-02-28,2024-03-04,3,"Apiúna, Ascurra, Rodeio",True,False,"Chuvas intensas, Enxurrada",0,4,0,0.0,"SC-F-4201257-12200-20240228, SC-F-4215109-13214-20240229, SC-F-4201703-13214-20240304"
2024-04-14,2024-04-14,2024-04-14,2,"Botuverá, Brusque",False,True,Chuvas intensas,0,0,0,49400.38,"SC-F-4202701-13214-20240414, SC-F-4202909-13214-20240414"
2024-05-15,2024-05-15,2024-05-19,10,"Apiúna, Ascurra, Blumenau, Botuverá, Brusque, Indaial, Lontras, Rio do Sul, Rodeio, Taió",True,True,"Chuvas intensas, Inundação",522,3215,0,60557010.46,"SC-F-4209904-13214-20240515, SC-F-4201257-13214-20240518, SC-F-4201703-13214-20240518, SC-F-4202701-13214-20240518, SC-F-4202404-12100-20240519, SC-F-4202909-13214-20240519, SC-F-4207502-13214-20240519, SC-F-4214805-13214-20240519, SC-F-4215109-13214-20240519, SC-F-4217808-13214-20240519"
2024-07-07,2024-07-07,2024-07-08,2,"Ituporanga, Rio do Sul",True,False,Chuvas intensas,255,211,0,0.0,"SC-F-4208500-13214-20240707, SC-F-4214805-13214-20240708"
2024-10-10,2024-10-10,2024-10-10,1,Itajaí,True,True,Chuvas intensas,0,0,0,0.0,SC-F-4208203-13214-20241010
2025-01-16,2025-01-16,2025-01-17,5,"Brusque, Gaspar, Ilhota, Itajaí, Rodeio",True,True,"Chuvas intensas, Enxurrada",0,164,0,3334925.15,"SC-F-4202909-13214-20250116, SC-F-4205902-13214-20250116, SC-F-4208203-13214-20250116, SC-F-4207106-13214-20250117, SC-F-4215109-12200-20250117"
2025-01-31,2025-01-31,2025-01-31,1,Ituporanga,True,False,Enxurrada,0,9,0,0.0,SC-F-4208500-12200-20250131
2025-02-13,2025-02-13,2025-02-17,6,"Blumenau, Brusque, Gaspar, Indaial, Ituporanga, Pomerode",True,True,"Chuvas intensas, Enxurrada",9,107,1,411034.28,"SC-F-4202404-13214-20250213, SC-F-4213203-13214-20250213, SC-F-4202909-13214-20250216, SC-F-4205902-12200-20250217, SC-F-4207502-13214-20250217, SC-F-4208500-12200-20250217, SC-F-4213203-13214-20250217"
2025-03-09,2025-03-09,2025-03-09,1,Brusque,False,True,Chuvas intensas,0,4,0,0.0,SC-F-4202909-13214-20250309
2025-03-18,2025-03-18,2025-03-18,1,Brusque,False,True,Chuvas intensas,0,9,0,830531.78,SC-F-4202909-13214-20250318
2025-06-23,2025-06-23,2025-06-26,4,"Blumenau, Botuverá, Gaspar, Ilhota",True,True,Chuvas intensas,0,2,0,72885.36,"SC-F-4202701-13214-20250623, SC-F-4202404-13214-20250626, SC-F-4202701-13214-20250626, SC-F-4205902-13214-20250626, SC-F-4207106-13214-20250626"
2025-09-22,2025-09-22,2025-09-23,2,"Gaspar, Indaial",True,False,Chuvas intensas,0,0,0,0.0,"SC-F-4205902-13214-20250922, SC-F-4207502-13214-20250923"
2025-10-01,2025-10-01,2025-10-01,1,Gaspar,True,False,Enxurrada,0,11,0,0.0,SC-F-4205902-12200-20251001
2025-11-25,2025-11-25,2025-11-25,1,Ilhota,True,False,Chuvas intensas,0,20,0,1221729.29,SC-F-4207106-13214-20251125
2025-12-09,2025-12-09,2025-12-09,3,"Indaial, Rodeio, Timbó",True,False,"Alagamento, Chuvas intensas",1,5,0,12000.0,"SC-F-4207502-13214-20251209, SC-F-4215109-13214-20251209, SC-F-4218202-12300-20251209"
2025-12-24,2025-12-24,2025-12-31,9,"Ascurra, Benedito Novo, Blumenau, Botuverá, Brusque, Gaspar, Pomerode, Rodeio, Timbó",True,True,"Chuvas intensas, Enxurrada",0,177,0,11825190.7,"SC-F-4201703-13214-20251224, SC-F-4202404-13214-20251227, SC-F-4213203-13214-20251227, SC-F-4201703-13214-20251229, SC-F-4202206-13214-20251229, SC-F-4201703-13214-20251230, SC-F-4202701-13214-20251230, SC-F-4202909-13214-20251230, SC-F-4213203-13214-20251230, SC-F-4215109-13214-20251230, SC-F-4218202-12200-20251230, SC-F-4205902-13214-20251231"
